sample_id,subject_id,species_name,polymorphism_rate,Shannon_alpha_diversity
700112490,160178356,Dialister_invisus_61905,0.0013383869769357534,2.88480494721
700112490,160178356,Barnesiella_intestinihominis_62208,2.800128792360173e-05,2.88480494721
700112490,160178356,Odoribacter_splanchnicus_62174,0.0016777601729907382,2.88480494721
700112490,160178356,Butyricimonas_virosa_58742,2.8081555671709676e-05,2.88480494721
700112490,160178356,Faecalibacterium_prausnitzii_62201,0.049746429969711785,2.88480494721
700112490,160178356,Faecalibacterium_prausnitzii_57453,0.060959408047422545,2.88480494721
700112490,160178356,Oscillibacter_sp_60799,0.00014674337024395712,2.88480494721
700112490,160178356,Alistipes_sp_60764,9.131313570162249e-05,2.88480494721
700112490,160178356,Bacteroides_thetaiotaomicron_56941,0.00016440396242004977,2.88480494721
700112490,160178356,Bacteroidales_bacterium_58650,3.8097364864668695e-05,2.88480494721
700112490,160178356,Bacteroides_ovatus_58035,0.00028250799497674757,2.88480494721
700112490,160178356,Alistipes_shahii_62199,0.00976445789826218,2.88480494721
700112490,160178356,Bacteroides_xylanisolvens_57185,0.009774725886263195,2.88480494721
700112490,160178356,Bacteroides_intestinalis_61596,0.00011714500002741435,2.88480494721
700112490,160178356,Bacteroides_uniformis_57318,1.0622675553980648e-05,2.88480494721
700112490,160178356,Parabacteroides_distasonis_56985,0.0003197233116349013,2.88480494721
700112490,160178356,Burkholderiales_bacterium_56577,0.0758555430443306,2.88480494721
700112490,160178356,Bacteroides_caccae_53434,0.0002908090306841311,2.88480494721
700112490,160178356,Akkermansia_muciniphila_55290,0.00014551366281671178,2.88480494721
700112490,160178356,Bacteroides_vulgatus_57955,0.00934470124379129,2.88480494721
700014498,158418336,Lachnospiraceae_bacterium_51870,7.537140816977645e-05,3.3027378927
700014498,158418336,Parabacteroides_merdae_56972,0.00014234426694561107,3.3027378927
700014498,158418336,Eubacterium_rectale_56927,6.985585674923077e-05,3.3027378927
700014498,158418336,Alistipes_putredinis_61533,0.00035894740324915735,3.3027378927
700014498,158418336,Blautia_wexlerae_56130,0.022556011470792406,3.3027378927
700014498,158418336,Bacteroides_massiliensis_44749,7.912070031865933e-05,3.3027378927
700014498,158418336,Bacteroides_plebeius_61623,0.02174342806025514,3.3027378927
700014498,158418336,Bacteroides_uniformis_57318,0.011246766108582152,3.3027378927
700014498,158418336,Parabacteroides_distasonis_56985,0.011361955073308826,3.3027378927
